name,latitude,longitude,year_utc,month_utc,day_utc,hour_utc,minute_utc,maximum_sustained_wind_mps,minimum_pressure_hpa,datetime_utc,radius_of_34_kt_winds_ne_m,radius_of_34_kt_winds_se_m,radius_of_34_kt_winds_sw_m,radius_of_34_kt_winds_nw_m,radius_of_maximum_winds_m,radius_of_outer_closed_isobar_m,enviromental_pressure_hpa
BERYL,9.4,-25.5,2024,6,26,0,0,7.71666,1013.0,2024-06-26 00:00:00,74080.0,27780.0,18520.0,74080.0,17594.0,138900.0,1013.0
BERYL,9.5,-26.2,2024,6,26,3,0,7.71666,1013.0,2024-06-26 03:00:00,74080.0,27780.0,18520.0,74080.0,17594.0,138900.0,1013.0
BERYL,9.6,-27.0,2024,6,26,6,0,7.71666,1013.0,2024-06-26 06:00:00,74080.0,27780.0,18520.0,74080.0,17594.0,138900.0,1013.0
BERYL,9.7,-27.9,2024,6,26,9,0,9.259992,1013.0,2024-06-26 09:00:00,74080.0,27780.0,18520.0,74080.0,17594.0,138900.0,1013.0
BERYL,9.8,-28.8,2024,6,26,12,0,10.28888,1013.0,2024-06-26 12:00:00,74080.0,27780.0,18520.0,74080.0,17594.0,138900.0,1013.0
BERYL,9.9,-29.5,2024,6,26,15,0,10.28888,1013.0,2024-06-26 15:00:00,74080.0,27780.0,18520.0,74080.0,17594.0,138900.0,1013.0
BERYL,9.9,-30.1,2024,6,26,18,0,10.28888,1013.0,2024-06-26 18:00:00,74080.0,27780.0,18520.0,74080.0,17594.0,138900.0,1013.0
BERYL,10.0,-30.8,2024,6,26,21,0,11.832212,1013.0,2024-06-26 21:00:00,74080.0,27780.0,18520.0,74080.0,17594.0,138900.0,1013.0
BERYL,10.0,-31.5,2024,6,27,0,0,12.8611,1012.0,2024-06-27 00:00:00,74080.0,27780.0,18520.0,74080.0,17594.0,138900.0,1013.0
BERYL,10.0,-32.0,2024,6,27,3,0,12.8611,1012.0,2024-06-27 03:00:00,74080.0,27780.0,18520.0,74080.0,17594.0,138900.0,1013.0
BERYL,10.0,-32.5,2024,6,27,6,0,12.8611,1012.0,2024-06-27 06:00:00,74080.0,27780.0,18520.0,74080.0,17594.0,138900.0,1013.0
BERYL,10.0,-33.1,2024,6,27,9,0,12.8611,1012.0,2024-06-27 09:00:00,74080.0,27780.0,18520.0,74080.0,17594.0,138900.0,1013.0
BERYL,9.9,-33.8,2024,6,27,12,0,12.8611,1011.0,2024-06-27 12:00:00,74080.0,27780.0,18520.0,74080.0,17594.0,138900.0,1013.0
BERYL,9.8,-34.6,2024,6,27,15,0,12.8611,1010.0,2024-06-27 15:00:00,74080.0,27780.0,18520.0,74080.0,17594.0,209276.0,1012.0
